"ID","item","lifestyle","retirementtype","budgetperweek","category","startdate","enddate"
47,89,1,1,9.17,5,2023-09-01,2023-12-31
48,89,2,1,2.74,5,2023-09-01,2023-12-31
49,90,1,2,5.01,5,2023-09-01,2023-12-31
50,90,2,2,2.82,5,2023-09-01,2023-12-31
51,90,1,1,5.01,5,2023-09-01,2023-12-31
52,90,2,1,2.82,5,2023-09-01,2023-12-31
53,91,1,2,18.78,5,2023-09-01,2023-12-31
54,91,2,2,2.91,5,2023-09-01,2023-12-31
55,91,1,1,16.42,5,2023-09-01,2023-12-31
56,91,2,1,2.91,5,2023-09-01,2023-12-31
58,92,2,2,0.0,5,2023-09-01,2023-12-31
59,92,1,1,7.78,5,2023-09-01,2023-12-31
60,92,2,1,0.0,5,2023-09-01,2023-12-31
61,94,1,2,188.33,7,2023-09-01,2023-12-31
63,94,1,1,176.23,7,2023-09-01,2023-12-31
64,94,2,1,107.78,7,2023-09-01,2023-12-31
65,95,1,2,5.57,7,2023-09-01,2023-12-31
66,95,2,2,5.57,7,2023-09-01,2023-12-31
67,95,1,1,2.79,7,2023-09-01,2023-12-31
69,96,1,2,93.52,8,2023-09-01,2023-12-31
70,96,2,2,35.74,8,2023-09-01,2023-12-31
71,96,1,1,46.75,8,2023-09-01,2023-12-31
72,96,2,1,17.87,8,2023-09-01,2023-12-31
73,97,1,2,47.04,8,2023-09-01,2023-12-31
75,97,1,1,27.08,8,2023-09-01,2023-12-31
76,97,2,1,13.53,8,2023-09-01,2023-12-31
77,98,1,2,64.23,8,2023-09-01,2023-12-31
78,98,2,2,47.24,8,2023-09-01,2023-12-31
80,98,2,1,24.13,8,2023-09-01,2023-12-31
81,99,1,2,5.85,8,2023-09-01,2023-12-31
82,99,2,2,0.0,8,2023-09-01,2023-12-31
83,99,1,1,2.92,8,2023-09-01,2023-12-31
84,99,2,1,0.0,8,2023-09-01,2023-12-31
86,100,2,2,4.43,9,2023-09-01,2023-12-31
87,100,1,1,4.46,9,2023-09-01,2023-12-31
88,100,2,1,3.32,9,2023-09-01,2023-12-31
89,101,1,2,12.06,9,2023-09-01,2023-12-31
90,101,2,2,3.24,9,2023-09-01,2023-12-31
92,101,2,1,3.24,9,2023-09-01,2023-12-31
93,102,1,2,45.92,9,2023-09-01,2023-12-31
94,102,2,2,25.96,9,2023-09-01,2023-12-31
95,102,1,1,21.99,9,2023-09-01,2023-12-31
97,103,1,2,96.78,9,2023-09-01,2023-12-31
98,103,2,2,50.7,9,2023-09-01,2023-12-31
99,103,1,1,69.13,9,2023-09-01,2023-12-31
100,103,2,1,29.95,9,2023-09-01,2023-12-31
101,104,1,2,11.09,9,2023-09-01,2023-12-31
103,104,1,1,6.65,9,2023-09-01,2023-12-31
104,104,2,1,6.65,9,2023-09-01,2023-12-31
105,105,1,2,89.24,9,2023-09-01,2023-12-31
106,105,2,2,62.36,9,2023-09-01,2023-12-31
107,105,1,1,58.63,9,2023-09-01,2023-12-31
109,106,1,2,37.12,9,2023-09-01,2023-12-31
110,106,2,2,0.0,9,2023-09-01,2023-12-31
111,106,1,1,23.43,9,2023-09-01,2023-12-31
112,106,2,1,0.0,9,2023-09-01,2023-12-31
114,107,2,2,17.03,9,2023-09-01,2023-12-31
115,107,1,1,23.77,9,2023-09-01,2023-12-31
116,107,2,1,12.67,9,2023-09-01,2023-12-31
117,93,1,2,52.63,6,2023-09-01,2023-12-31
118,93,2,2,40.21,6,2023-09-01,2023-12-31
120,93,2,1,21.16,6,2023-09-01,2023-12-31
121,108,1,2,1.2,9,2023-09-01,2023-12-31
122,108,2,2,0.46,9,2023-09-01,2023-12-31
123,108,1,1,1.2,9,2023-09-01,2023-12-31
124,108,2,1,0.46,9,2023-09-01,2023-12-31
1,22,1,2,42.75,1,2023-09-01,2023-12-31
57,92,1,2,7.78,5,2023-09-01,2023-12-31
62,94,2,2,111.14,7,2023-09-01,2023-12-31
68,95,2,1,2.79,7,2023-09-01,2023-12-31
74,97,2,2,23.52,8,2023-09-01,2023-12-31
79,98,1,1,36.19,8,2023-09-01,2023-12-31
85,100,1,2,6.65,9,2023-09-01,2023-12-31
91,101,1,1,12.06,9,2023-09-01,2023-12-31
96,102,2,1,17.22,9,2023-09-01,2023-12-31
102,104,2,2,13.3,9,2023-09-01,2023-12-31
108,105,2,1,39.52,9,2023-09-01,2023-12-31
113,107,1,2,32.65,9,2023-09-01,2023-12-31
119,93,1,1,28.26,6,2023-09-01,2023-12-31
