"ID","item","lifestyle","retirementtype","budgetperweek","category","startdate","enddate"
761,96,1,2,93.52,8,2023-09-01,2023-12-31
762,96,2,2,35.74,8,2023-09-01,2023-12-31
763,96,1,1,46.75,8,2023-09-01,2023-12-31
764,96,2,1,17.87,8,2023-09-01,2023-12-31
765,97,1,2,47.04,8,2023-09-01,2023-12-31
766,97,1,1,27.08,8,2023-09-01,2023-12-31
767,97,2,1,13.53,8,2023-09-01,2023-12-31
768,98,1,2,64.23,8,2023-09-01,2023-12-31
769,98,2,2,47.24,8,2023-09-01,2023-12-31
770,98,2,1,24.13,8,2023-09-01,2023-12-31
771,99,1,2,5.85,8,2023-09-01,2023-12-31
772,99,2,2,0.0,8,2023-09-01,2023-12-31
773,99,1,1,2.92,8,2023-09-01,2023-12-31
774,99,2,1,0.0,8,2023-09-01,2023-12-31
775,100,2,2,4.43,9,2023-09-01,2023-12-31
776,100,1,1,4.46,9,2023-09-01,2023-12-31
777,100,2,1,3.32,9,2023-09-01,2023-12-31
778,101,1,2,12.06,9,2023-09-01,2023-12-31
779,101,2,2,3.24,9,2023-09-01,2023-12-31
780,101,2,1,3.24,9,2023-09-01,2023-12-31
781,102,1,2,45.92,9,2023-09-01,2023-12-31
782,102,2,2,25.96,9,2023-09-01,2023-12-31
783,102,1,1,21.99,9,2023-09-01,2023-12-31
784,103,1,2,96.78,9,2023-09-01,2023-12-31
785,103,2,2,50.7,9,2023-09-01,2023-12-31
786,103,1,1,69.13,9,2023-09-01,2023-12-31
787,103,2,1,29.95,9,2023-09-01,2023-12-31
788,104,1,2,11.09,9,2023-09-01,2023-12-31
789,104,1,1,6.65,9,2023-09-01,2023-12-31
790,104,2,1,6.65,9,2023-09-01,2023-12-31
791,105,1,2,89.24,9,2023-09-01,2023-12-31
792,105,2,2,62.36,9,2023-09-01,2023-12-31
793,105,1,1,58.63,9,2023-09-01,2023-12-31
794,106,1,2,37.12,9,2023-09-01,2023-12-31
795,106,2,2,0.0,9,2023-09-01,2023-12-31
796,106,1,1,23.43,9,2023-09-01,2023-12-31
797,106,2,1,0.0,9,2023-09-01,2023-12-31
798,107,2,2,17.03,9,2023-09-01,2023-12-31
799,107,1,1,23.77,9,2023-09-01,2023-12-31
800,107,2,1,12.67,9,2023-09-01,2023-12-31
801,93,1,2,52.63,6,2023-09-01,2023-12-31
802,93,2,2,40.21,6,2023-09-01,2023-12-31
803,93,2,1,21.16,6,2023-09-01,2023-12-31
804,108,1,2,1.2,9,2023-09-01,2023-12-31
805,108,2,2,0.46,9,2023-09-01,2023-12-31
806,108,1,1,1.2,9,2023-09-01,2023-12-31
807,108,2,1,0.46,9,2023-09-01,2023-12-31
808,22,1,2,42.75,1,2023-09-01,2023-12-31
809,92,1,2,7.78,5,2023-09-01,2023-12-31
810,94,2,2,111.14,7,2023-09-01,2023-12-31
811,95,2,1,2.79,7,2023-09-01,2023-12-31
812,97,2,2,23.52,8,2023-09-01,2023-12-31
813,98,1,1,36.19,8,2023-09-01,2023-12-31
814,100,1,2,6.65,9,2023-09-01,2023-12-31
815,101,1,1,12.06,9,2023-09-01,2023-12-31
816,102,2,1,17.22,9,2023-09-01,2023-12-31
817,104,2,2,13.3,9,2023-09-01,2023-12-31
818,105,2,1,39.52,9,2023-09-01,2023-12-31
819,107,1,2,32.65,9,2023-09-01,2023-12-31
820,93,1,1,28.26,6,2023-09-01,2023-12-31
1057,92,1,2,7.78,5,2023-09-01,2023-12-31
1058,94,2,2,111.14,7,2023-09-01,2023-12-31
1059,95,2,1,2.79,7,2023-09-01,2023-12-31
1060,97,2,2,23.52,8,2023-09-01,2023-12-31
1061,98,1,1,36.19,8,2023-09-01,2023-12-31
1062,100,1,2,6.65,9,2023-09-01,2023-12-31
1063,101,1,1,12.06,9,2023-09-01,2023-12-31
1064,102,2,1,17.22,9,2023-09-01,2023-12-31
1065,104,2,2,13.3,9,2023-09-01,2023-12-31
1066,105,2,1,39.52,9,2023-09-01,2023-12-31
1067,107,1,2,32.65,9,2023-09-01,2023-12-31
1068,93,1,1,28.26,6,2023-09-01,2023-12-31
1069,22,2,2,42.67,1,2023-09-01,2023-12-31
1070,22,2,1,33.57,1,2023-09-01,2023-12-31
1071,23,1,2,44.55,1,2023-09-01,2023-12-31
1072,23,2,2,40.67,1,2023-09-01,2023-12-31
1073,23,1,1,44.53,1,2023-09-01,2023-12-31
1074,23,2,1,38.32,1,2023-09-01,2023-12-31
1075,24,1,2,26.5,1,2023-09-01,2023-12-31
1076,24,2,2,26.5,1,2023-09-01,2023-12-31
1077,24,1,1,22.81,1,2023-09-01,2023-12-31
1078,25,1,2,7.93,1,2023-09-01,2023-12-31
1079,22,1,1,40.32,1,2023-09-01,2023-12-31
1080,25,2,2,0.0,1,2023-09-01,2023-12-31
1081,25,1,1,7.93,1,2023-09-01,2023-12-31
1082,25,2,1,0.0,1,2023-09-01,2023-12-31
1083,26,1,2,23.77,1,2023-09-01,2023-12-31
1084,26,2,2,23.77,1,2023-09-01,2023-12-31
1085,26,1,1,23.77,1,2023-09-01,2023-12-31
1086,26,2,1,23.77,1,2023-09-01,2023-12-31
1087,27,1,2,63.92,2,2023-09-01,2023-12-31
1088,27,2,2,54.64,2,2023-09-01,2023-12-31
1089,24,2,1,22.81,1,2023-09-01,2023-12-31
1090,27,1,1,51.54,2,2023-09-01,2023-12-31
1091,27,2,1,40.68,2,2023-09-01,2023-12-31
1092,28,1,2,246.38,3,2023-09-01,2023-12-31
1093,28,2,2,203.27,3,2023-09-01,2023-12-31
1094,28,1,1,141.76,3,2023-09-01,2023-12-31
1095,28,2,1,109.64,3,2023-09-01,2023-12-31
1096,85,1,2,29.78,4,2023-09-01,2023-12-31
1097,85,2,2,20.61,4,2023-09-01,2023-12-31
1098,85,1,1,22.88,4,2023-09-01,2023-12-31
1099,85,2,1,18.29,4,2023-09-01,2023-12-31
1100,86,1,2,31.11,5,2023-09-01,2023-12-31
1101,86,2,2,18.59,5,2023-09-01,2023-12-31
1102,86,1,1,23.84,5,2023-09-01,2023-12-31
1103,86,2,1,18.59,5,2023-09-01,2023-12-31
1104,87,1,2,7.51,5,2023-09-01,2023-12-31
1105,87,2,2,7.19,5,2023-09-01,2023-12-31
1106,87,1,1,5.37,5,2023-09-01,2023-12-31
1107,87,2,1,5.14,5,2023-09-01,2023-12-31
1108,88,1,2,27.11,5,2023-09-01,2023-12-31
1109,88,2,2,12.0,5,2023-09-01,2023-12-31
1110,88,1,1,17.66,5,2023-09-01,2023-12-31
1111,88,2,1,7.19,5,2023-09-01,2023-12-31
1112,89,1,2,9.39,5,2023-09-01,2023-12-31
1113,89,2,2,2.74,5,2023-09-01,2023-12-31
1114,89,1,1,9.17,5,2023-09-01,2023-12-31
1115,89,2,1,2.74,5,2023-09-01,2023-12-31
1116,90,1,2,5.01,5,2023-09-01,2023-12-31
1117,90,2,2,2.82,5,2023-09-01,2023-12-31
1118,90,1,1,5.01,5,2023-09-01,2023-12-31
1119,90,2,1,2.82,5,2023-09-01,2023-12-31
1120,91,1,2,18.78,5,2023-09-01,2023-12-31
1121,91,2,2,2.91,5,2023-09-01,2023-12-31
1122,91,1,1,16.42,5,2023-09-01,2023-12-31
1123,91,2,1,2.91,5,2023-09-01,2023-12-31
1124,92,2,2,0.0,5,2023-09-01,2023-12-31
1125,92,1,1,7.78,5,2023-09-01,2023-12-31
1126,92,2,1,0.0,5,2023-09-01,2023-12-31
1127,94,1,2,188.33,7,2023-09-01,2023-12-31
1128,94,1,1,176.23,7,2023-09-01,2023-12-31
1129,94,2,1,107.78,7,2023-09-01,2023-12-31
1130,95,1,2,5.57,7,2023-09-01,2023-12-31
1131,95,2,2,5.57,7,2023-09-01,2023-12-31
1132,95,1,1,2.79,7,2023-09-01,2023-12-31
1133,96,1,2,93.52,8,2023-09-01,2023-12-31
1134,96,2,2,35.74,8,2023-09-01,2023-12-31
1135,96,1,1,46.75,8,2023-09-01,2023-12-31
1136,96,2,1,17.87,8,2023-09-01,2023-12-31
1137,97,1,2,47.04,8,2023-09-01,2023-12-31
1138,97,1,1,27.08,8,2023-09-01,2023-12-31
1139,97,2,1,13.53,8,2023-09-01,2023-12-31
1140,98,1,2,64.23,8,2023-09-01,2023-12-31
1141,98,2,2,47.24,8,2023-09-01,2023-12-31
1142,98,2,1,24.13,8,2023-09-01,2023-12-31
1143,99,1,2,5.85,8,2023-09-01,2023-12-31
1144,99,2,2,0.0,8,2023-09-01,2023-12-31
1145,99,1,1,2.92,8,2023-09-01,2023-12-31
1146,99,2,1,0.0,8,2023-09-01,2023-12-31
1147,100,2,2,4.43,9,2023-09-01,2023-12-31
1148,100,1,1,4.46,9,2023-09-01,2023-12-31
1149,100,2,1,3.32,9,2023-09-01,2023-12-31
1150,101,1,2,12.06,9,2023-09-01,2023-12-31
1151,101,2,2,3.24,9,2023-09-01,2023-12-31
1152,101,2,1,3.24,9,2023-09-01,2023-12-31
1153,102,1,2,45.92,9,2023-09-01,2023-12-31
1154,102,2,2,25.96,9,2023-09-01,2023-12-31
1155,102,1,1,21.99,9,2023-09-01,2023-12-31
1156,103,1,2,96.78,9,2023-09-01,2023-12-31
1157,103,2,2,50.7,9,2023-09-01,2023-12-31
1158,103,1,1,69.13,9,2023-09-01,2023-12-31
1159,103,2,1,29.95,9,2023-09-01,2023-12-31
1160,104,1,2,11.09,9,2023-09-01,2023-12-31
1161,104,1,1,6.65,9,2023-09-01,2023-12-31
1162,104,2,1,6.65,9,2023-09-01,2023-12-31
1163,105,1,2,89.24,9,2023-09-01,2023-12-31
1164,105,2,2,62.36,9,2023-09-01,2023-12-31
1165,105,1,1,58.63,9,2023-09-01,2023-12-31
1166,106,1,2,37.12,9,2023-09-01,2023-12-31
1167,106,2,2,0.0,9,2023-09-01,2023-12-31
1168,106,1,1,23.43,9,2023-09-01,2023-12-31
1169,106,2,1,0.0,9,2023-09-01,2023-12-31
1170,107,2,2,17.03,9,2023-09-01,2023-12-31
1171,107,1,1,23.77,9,2023-09-01,2023-12-31
1172,107,2,1,12.67,9,2023-09-01,2023-12-31
821,22,2,2,42.67,1,2023-09-01,2023-12-31
822,22,2,1,33.57,1,2023-09-01,2023-12-31
823,23,1,2,44.55,1,2023-09-01,2023-12-31
824,23,2,2,40.67,1,2023-09-01,2023-12-31
825,23,1,1,44.53,1,2023-09-01,2023-12-31
826,23,2,1,38.32,1,2023-09-01,2023-12-31
827,24,1,2,26.5,1,2023-09-01,2023-12-31
828,24,2,2,26.5,1,2023-09-01,2023-12-31
829,24,1,1,22.81,1,2023-09-01,2023-12-31
830,25,1,2,7.93,1,2023-09-01,2023-12-31
831,22,1,1,40.32,1,2023-09-01,2023-12-31
832,25,2,2,0.0,1,2023-09-01,2023-12-31
833,25,1,1,7.93,1,2023-09-01,2023-12-31
834,25,2,1,0.0,1,2023-09-01,2023-12-31
835,26,1,2,23.77,1,2023-09-01,2023-12-31
836,26,2,2,23.77,1,2023-09-01,2023-12-31
837,26,1,1,23.77,1,2023-09-01,2023-12-31
838,26,2,1,23.77,1,2023-09-01,2023-12-31
839,27,1,2,63.92,2,2023-09-01,2023-12-31
840,27,2,2,54.64,2,2023-09-01,2023-12-31
841,24,2,1,22.81,1,2023-09-01,2023-12-31
842,27,1,1,51.54,2,2023-09-01,2023-12-31
843,27,2,1,40.68,2,2023-09-01,2023-12-31
844,28,1,2,246.38,3,2023-09-01,2023-12-31
845,28,2,2,203.27,3,2023-09-01,2023-12-31
846,28,1,1,141.76,3,2023-09-01,2023-12-31
847,28,2,1,109.64,3,2023-09-01,2023-12-31
848,85,1,2,29.78,4,2023-09-01,2023-12-31
849,85,2,2,20.61,4,2023-09-01,2023-12-31
850,85,1,1,22.88,4,2023-09-01,2023-12-31
851,85,2,1,18.29,4,2023-09-01,2023-12-31
852,86,1,2,31.11,5,2023-09-01,2023-12-31
853,86,2,2,18.59,5,2023-09-01,2023-12-31
854,86,1,1,23.84,5,2023-09-01,2023-12-31
855,86,2,1,18.59,5,2023-09-01,2023-12-31
856,87,1,2,7.51,5,2023-09-01,2023-12-31
857,87,2,2,7.19,5,2023-09-01,2023-12-31
858,87,1,1,5.37,5,2023-09-01,2023-12-31
859,87,2,1,5.14,5,2023-09-01,2023-12-31
860,88,1,2,27.11,5,2023-09-01,2023-12-31
861,88,2,2,12.0,5,2023-09-01,2023-12-31
862,88,1,1,17.66,5,2023-09-01,2023-12-31
863,88,2,1,7.19,5,2023-09-01,2023-12-31
864,89,1,2,9.39,5,2023-09-01,2023-12-31
865,89,2,2,2.74,5,2023-09-01,2023-12-31
866,89,1,1,9.17,5,2023-09-01,2023-12-31
867,89,2,1,2.74,5,2023-09-01,2023-12-31
868,90,1,2,5.01,5,2023-09-01,2023-12-31
869,90,2,2,2.82,5,2023-09-01,2023-12-31
870,90,1,1,5.01,5,2023-09-01,2023-12-31
871,90,2,1,2.82,5,2023-09-01,2023-12-31
872,91,1,2,18.78,5,2023-09-01,2023-12-31
873,91,2,2,2.91,5,2023-09-01,2023-12-31
874,91,1,1,16.42,5,2023-09-01,2023-12-31
875,91,2,1,2.91,5,2023-09-01,2023-12-31
876,92,2,2,0.0,5,2023-09-01,2023-12-31
877,92,1,1,7.78,5,2023-09-01,2023-12-31
878,92,2,1,0.0,5,2023-09-01,2023-12-31
879,94,1,2,188.33,7,2023-09-01,2023-12-31
880,94,1,1,176.23,7,2023-09-01,2023-12-31
881,94,2,1,107.78,7,2023-09-01,2023-12-31
882,95,1,2,5.57,7,2023-09-01,2023-12-31
883,95,2,2,5.57,7,2023-09-01,2023-12-31
884,95,1,1,2.79,7,2023-09-01,2023-12-31
885,96,1,2,93.52,8,2023-09-01,2023-12-31
886,96,2,2,35.74,8,2023-09-01,2023-12-31
887,96,1,1,46.75,8,2023-09-01,2023-12-31
888,96,2,1,17.87,8,2023-09-01,2023-12-31
889,97,1,2,47.04,8,2023-09-01,2023-12-31
890,97,1,1,27.08,8,2023-09-01,2023-12-31
891,97,2,1,13.53,8,2023-09-01,2023-12-31
892,98,1,2,64.23,8,2023-09-01,2023-12-31
893,98,2,2,47.24,8,2023-09-01,2023-12-31
894,98,2,1,24.13,8,2023-09-01,2023-12-31
895,99,1,2,5.85,8,2023-09-01,2023-12-31
896,99,2,2,0.0,8,2023-09-01,2023-12-31
897,99,1,1,2.92,8,2023-09-01,2023-12-31
898,99,2,1,0.0,8,2023-09-01,2023-12-31
899,100,2,2,4.43,9,2023-09-01,2023-12-31
900,100,1,1,4.46,9,2023-09-01,2023-12-31
901,100,2,1,3.32,9,2023-09-01,2023-12-31
902,101,1,2,12.06,9,2023-09-01,2023-12-31
903,101,2,2,3.24,9,2023-09-01,2023-12-31
904,101,2,1,3.24,9,2023-09-01,2023-12-31
905,102,1,2,45.92,9,2023-09-01,2023-12-31
906,102,2,2,25.96,9,2023-09-01,2023-12-31
907,102,1,1,21.99,9,2023-09-01,2023-12-31
908,103,1,2,96.78,9,2023-09-01,2023-12-31
909,103,2,2,50.7,9,2023-09-01,2023-12-31
910,103,1,1,69.13,9,2023-09-01,2023-12-31
911,103,2,1,29.95,9,2023-09-01,2023-12-31
912,104,1,2,11.09,9,2023-09-01,2023-12-31
913,104,1,1,6.65,9,2023-09-01,2023-12-31
914,104,2,1,6.65,9,2023-09-01,2023-12-31
915,105,1,2,89.24,9,2023-09-01,2023-12-31
916,105,2,2,62.36,9,2023-09-01,2023-12-31
917,105,1,1,58.63,9,2023-09-01,2023-12-31
918,106,1,2,37.12,9,2023-09-01,2023-12-31
919,106,2,2,0.0,9,2023-09-01,2023-12-31
920,106,1,1,23.43,9,2023-09-01,2023-12-31
921,106,2,1,0.0,9,2023-09-01,2023-12-31
922,107,2,2,17.03,9,2023-09-01,2023-12-31
923,107,1,1,23.77,9,2023-09-01,2023-12-31
924,107,2,1,12.67,9,2023-09-01,2023-12-31
925,93,1,2,52.63,6,2023-09-01,2023-12-31
926,93,2,2,40.21,6,2023-09-01,2023-12-31
927,93,2,1,21.16,6,2023-09-01,2023-12-31
928,108,1,2,1.2,9,2023-09-01,2023-12-31
929,108,2,2,0.46,9,2023-09-01,2023-12-31
930,108,1,1,1.2,9,2023-09-01,2023-12-31
931,108,2,1,0.46,9,2023-09-01,2023-12-31
932,22,1,2,42.75,1,2023-09-01,2023-12-31
933,92,1,2,7.78,5,2023-09-01,2023-12-31
934,94,2,2,111.14,7,2023-09-01,2023-12-31
935,95,2,1,2.79,7,2023-09-01,2023-12-31
936,97,2,2,23.52,8,2023-09-01,2023-12-31
937,98,1,1,36.19,8,2023-09-01,2023-12-31
938,100,1,2,6.65,9,2023-09-01,2023-12-31
939,101,1,1,12.06,9,2023-09-01,2023-12-31
940,102,2,1,17.22,9,2023-09-01,2023-12-31
941,104,2,2,13.3,9,2023-09-01,2023-12-31
942,105,2,1,39.52,9,2023-09-01,2023-12-31
943,107,1,2,32.65,9,2023-09-01,2023-12-31
944,93,1,1,28.26,6,2023-09-01,2023-12-31
945,22,2,2,42.67,1,2023-09-01,2023-12-31
946,22,2,1,33.57,1,2023-09-01,2023-12-31
947,23,1,2,44.55,1,2023-09-01,2023-12-31
948,23,2,2,40.67,1,2023-09-01,2023-12-31
949,23,1,1,44.53,1,2023-09-01,2023-12-31
950,23,2,1,38.32,1,2023-09-01,2023-12-31
951,24,1,2,26.5,1,2023-09-01,2023-12-31
952,24,2,2,26.5,1,2023-09-01,2023-12-31
953,24,1,1,22.81,1,2023-09-01,2023-12-31
954,25,1,2,7.93,1,2023-09-01,2023-12-31
955,22,1,1,40.32,1,2023-09-01,2023-12-31
956,25,2,2,0.0,1,2023-09-01,2023-12-31
957,25,1,1,7.93,1,2023-09-01,2023-12-31
958,25,2,1,0.0,1,2023-09-01,2023-12-31
959,26,1,2,23.77,1,2023-09-01,2023-12-31
960,26,2,2,23.77,1,2023-09-01,2023-12-31
961,26,1,1,23.77,1,2023-09-01,2023-12-31
962,26,2,1,23.77,1,2023-09-01,2023-12-31
963,27,1,2,63.92,2,2023-09-01,2023-12-31
964,27,2,2,54.64,2,2023-09-01,2023-12-31
965,24,2,1,22.81,1,2023-09-01,2023-12-31
966,27,1,1,51.54,2,2023-09-01,2023-12-31
967,27,2,1,40.68,2,2023-09-01,2023-12-31
968,28,1,2,246.38,3,2023-09-01,2023-12-31
969,28,2,2,203.27,3,2023-09-01,2023-12-31
970,28,1,1,141.76,3,2023-09-01,2023-12-31
971,28,2,1,109.64,3,2023-09-01,2023-12-31
972,85,1,2,29.78,4,2023-09-01,2023-12-31
973,85,2,2,20.61,4,2023-09-01,2023-12-31
974,85,1,1,22.88,4,2023-09-01,2023-12-31
975,85,2,1,18.29,4,2023-09-01,2023-12-31
976,86,1,2,31.11,5,2023-09-01,2023-12-31
977,86,2,2,18.59,5,2023-09-01,2023-12-31
978,86,1,1,23.84,5,2023-09-01,2023-12-31
979,86,2,1,18.59,5,2023-09-01,2023-12-31
980,87,1,2,7.51,5,2023-09-01,2023-12-31
981,87,2,2,7.19,5,2023-09-01,2023-12-31
982,87,1,1,5.37,5,2023-09-01,2023-12-31
983,87,2,1,5.14,5,2023-09-01,2023-12-31
984,88,1,2,27.11,5,2023-09-01,2023-12-31
985,88,2,2,12.0,5,2023-09-01,2023-12-31
986,88,1,1,17.66,5,2023-09-01,2023-12-31
987,88,2,1,7.19,5,2023-09-01,2023-12-31
988,89,1,2,9.39,5,2023-09-01,2023-12-31
989,89,2,2,2.74,5,2023-09-01,2023-12-31
990,89,1,1,9.17,5,2023-09-01,2023-12-31
991,89,2,1,2.74,5,2023-09-01,2023-12-31
992,90,1,2,5.01,5,2023-09-01,2023-12-31
993,90,2,2,2.82,5,2023-09-01,2023-12-31
994,90,1,1,5.01,5,2023-09-01,2023-12-31
995,90,2,1,2.82,5,2023-09-01,2023-12-31
996,91,1,2,18.78,5,2023-09-01,2023-12-31
997,91,2,2,2.91,5,2023-09-01,2023-12-31
998,91,1,1,16.42,5,2023-09-01,2023-12-31
999,91,2,1,2.91,5,2023-09-01,2023-12-31
1000,92,2,2,0.0,5,2023-09-01,2023-12-31
1001,92,1,1,7.78,5,2023-09-01,2023-12-31
1002,92,2,1,0.0,5,2023-09-01,2023-12-31
1003,94,1,2,188.33,7,2023-09-01,2023-12-31
1004,94,1,1,176.23,7,2023-09-01,2023-12-31
1005,94,2,1,107.78,7,2023-09-01,2023-12-31
1006,95,1,2,5.57,7,2023-09-01,2023-12-31
1007,95,2,2,5.57,7,2023-09-01,2023-12-31
1008,95,1,1,2.79,7,2023-09-01,2023-12-31
1009,96,1,2,93.52,8,2023-09-01,2023-12-31
1010,96,2,2,35.74,8,2023-09-01,2023-12-31
1011,96,1,1,46.75,8,2023-09-01,2023-12-31
1012,96,2,1,17.87,8,2023-09-01,2023-12-31
1013,97,1,2,47.04,8,2023-09-01,2023-12-31
1014,97,1,1,27.08,8,2023-09-01,2023-12-31
1015,97,2,1,13.53,8,2023-09-01,2023-12-31
1016,98,1,2,64.23,8,2023-09-01,2023-12-31
1017,98,2,2,47.24,8,2023-09-01,2023-12-31
1018,98,2,1,24.13,8,2023-09-01,2023-12-31
1019,99,1,2,5.85,8,2023-09-01,2023-12-31
1020,99,2,2,0.0,8,2023-09-01,2023-12-31
1021,99,1,1,2.92,8,2023-09-01,2023-12-31
1022,99,2,1,0.0,8,2023-09-01,2023-12-31
1023,100,2,2,4.43,9,2023-09-01,2023-12-31
1024,100,1,1,4.46,9,2023-09-01,2023-12-31
1025,100,2,1,3.32,9,2023-09-01,2023-12-31
1026,101,1,2,12.06,9,2023-09-01,2023-12-31
1027,101,2,2,3.24,9,2023-09-01,2023-12-31
1028,101,2,1,3.24,9,2023-09-01,2023-12-31
1029,102,1,2,45.92,9,2023-09-01,2023-12-31
1030,102,2,2,25.96,9,2023-09-01,2023-12-31
1031,102,1,1,21.99,9,2023-09-01,2023-12-31
1032,103,1,2,96.78,9,2023-09-01,2023-12-31
453,22,1,2,40.08,1,2023-03-01,2023-06-30
454,22,1,2,41.2,1,2023-03-01,2023-06-30
455,22,1,1,37.8,1,2023-03-01,2023-06-30
456,22,2,1,31.48,1,2023-03-01,2023-06-30
457,23,1,2,42.68,1,2023-03-01,2023-06-30
458,23,2,2,38.97,1,2023-03-01,2023-06-30
459,23,1,1,42.68,1,2023-03-01,2023-06-30
460,23,2,1,36.72,1,2023-03-01,2023-06-30
461,24,1,2,25.31,1,2023-03-01,2023-06-30
462,24,2,2,25.31,1,2023-03-01,2023-06-30
463,24,1,1,21.79,1,2023-03-01,2023-06-30
464,24,2,1,21.79,1,2023-03-01,2023-06-30
465,25,1,2,7.77,1,2023-03-01,2023-06-30
466,25,2,2,0.0,1,2023-03-01,2023-06-30
467,25,1,1,7.77,1,2023-03-01,2023-06-30
468,25,2,1,0.0,1,2023-03-01,2023-06-30
469,26,1,2,23.29,1,2023-03-01,2023-06-30
470,26,2,2,23.29,1,2023-03-01,2023-06-30
471,26,1,1,23.29,1,2023-03-01,2023-06-30
472,26,2,1,23.29,1,2023-03-01,2023-06-30
473,27,1,2,60.48,2,2023-03-01,2023-06-30
474,27,2,2,51.7,2,2023-03-01,2023-06-30
475,27,1,1,48.77,2,2023-03-01,2023-06-30
476,27,2,1,38.49,2,2023-03-01,2023-06-30
477,28,1,2,243.57,3,2023-03-01,2023-06-30
478,28,2,2,200.94,3,2023-03-01,2023-06-30
479,28,1,1,140.14,3,2023-03-01,2023-06-30
480,28,2,1,108.39,3,2023-03-01,2023-06-30
481,85,1,2,29.06,4,2023-03-01,2023-06-30
482,85,2,2,20.11,4,2023-03-01,2023-06-30
483,85,1,1,22.33,4,2023-03-01,2023-06-30
484,85,2,1,17.85,4,2023-03-01,2023-06-30
485,86,1,2,30.52,5,2023-03-01,2023-06-30
486,86,2,2,18.24,5,2023-03-01,2023-06-30
487,86,1,1,23.39,5,2023-03-01,2023-06-30
488,86,2,1,18.24,5,2023-03-01,2023-06-30
489,87,1,2,7.54,5,2023-03-01,2023-06-30
490,87,2,2,7.22,5,2023-03-01,2023-06-30
491,87,1,1,5.39,5,2023-03-01,2023-06-30
492,87,2,1,5.16,5,2023-03-01,2023-06-30
